Jurisdicción,Sector,Ámbito,Departamento,Código de departamento,Localidad,Código de localidad,Cueanexo,Nombre,Domicilio,C. P.,Teléfono,Mail,Común,Especial,Adultos,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET,SNU - Cursos,Nivel inicial - Educación temprana,Nivel inicial - Jardín de infantes,Primario,Secundario,Integración a la modalidad común/ adultos,Primario,Secundario,Formación Profesional,Formación Profesional - INET,Alfabetización,Inicial,Primario,Secundario,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020000100,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,SUÁREZ  684 BOCA ,C1162,011 4301-2922/4301-1606,NIVELMEDIOWILLIAMCMORRIS@HOTMAIL.COM /   WILLIAMCMORRIS503@GMAIL.COM,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020000102,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,OLAVARRIA 677 BOCA ,C1162,011 4301-2922/4301-1606,WILLIAMCMORRIS503@GMAIL.COM,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020000200,CARLOS R. VIGNALE,WENCESLAO VILLAFAÑE 453 BOCA ,C1160,011 4362-5614 // 4300-0346,dep_epc2_de4@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 13,02113,CIUDAD DE BUENOS AIRES,02113001,020000300,INSTITUTO SAN CAYETANO,VIDAL 1743 BELGRANO ,C1426,011 4783-0889 INT119,SANCAYETANOPRIMARIA@GMAIL.COM,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 13,02113,CIUDAD DE BUENOS AIRES,02113001,020000301,INSTITUTO SAN CAYETANO,MOLDES 1764 BELGRANO ,C1426,011 4783-0889 ,SANCAYETANOPRIMARIA@GMAIL.COM,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 13,02113,CIUDAD DE BUENOS AIRES,02113001,020000500,INSTITUTO NUESTRA SEÑORA DEL ROSARIO,CIUDAD DE LA PAZ 1839 BELGRANO ,C1428,011 4784-6788/4706-0938,PRIMARIANSROSARIO@GMAIL.COM/SECUNDARIANSROSARIO@GMAIL.COM,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 9,02109,CIUDAD DE BUENOS AIRES,02109001,020000700,INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS,AVDA. EMILIO CASTRO 7142 MATADEROS ,C1408,011 4687-8069,SECRETARIANIVELPRIMARIO@LUJANDELOSPATRIOTAS.EDU.AR,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 9,02109,CIUDAD DE BUENOS AIRES,02109001,020000800,DR MARTINIANO LEGUIZAMON,MARTINIANO LEGUIZAMON 1470 MATADEROS ,C1440,011 4687-0063,dep_epc16_de20@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020000900,BENITO QUINQUELA MARTIN,AVDA. DON PEDRO DE MENDOZA 1835 BOCA 4303-7814,C1169,011 4301-1357,dep_epc9_de4@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020001000,JOSE JACINTO BERRUTTI,BENITO QUINQUELA MARTIN 1081 BOCA ,C1167,011 4301-8990,dep_epc4_de4@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
